Gene_Symbol,log2FoldChange,pvalue
TSPAN6,1.552791474,5.52E-06
FIRRM,1.232847183,0.000198417
FGR,-0.564667767,2.98E-05
CFH,-3.563603155,2.16E-35
FUCA2,-0.344318554,1.70E-06
GCLC,1.455944348,1.08E-66
NFYA,0.549545159,2.40E-12
STPG1,-0.742123232,0.024305958
LAS1L,0.722229121,3.39E-07
SEMA3F,-1.595413869,5.78E-09
ANKIB1,-0.53964676,2.59E-09
CYP51A1,1.124860491,0.000542618
LAP3,-0.668183096,8.52E-49
HS3ST1,-0.944860779,0.003354739
AOC1,-1.840594284,0.000980031
MAD1L1,-0.408071506,0.004560348
SNX11,-0.677476135,2.62E-09
TMEM176A,-3.167300138,0.033465474
M6PR,-0.163151703,0.014331691
CYP26B1,1.868103888,6.72E-06
ALS2,-0.213362945,0.036140707
CASP10,-1.461717143,5.79E-35
CFLAR,-1.29172513,4.04E-167
SLC7A2,1.676746113,0.000966084
ARF5,0.354995095,0.010600963
POLDIP2,0.922161011,3.11E-18
PLXND1,-0.5053131,7.29E-12
CD38,-2.287678268,1.84E-32
FKBP4,0.858517247,5.74E-08
KDM1A,0.531014421,1.74E-06
RECQL,0.514719178,1.40E-07
NDUFAB1,0.807733907,1.00E-12
SLC22A16,-1.44024228,7.35E-23
SLC25A13,1.298995823,9.27E-22
CDC27,0.240897821,0.000123612
PRSS22,-2.155656687,0.000281726
UPF1,-0.712557415,3.65E-21
SKAP2,0.281462916,0.000795855
SLC25A5,1.039828637,1.93E-45
HOXA11,-1.151914466,3.56E-06
DHX33,1.086738275,3.67E-16
THSD7A,-0.846928908,3.68E-20
RPAP3,-0.456210668,1.73E-07
CIAPIN1,0.37390281,0.001656048
MSL3,-0.520761378,7.29E-08
CREBBP,-0.749135457,3.58E-23
TSPOAP1,-0.349693226,0.032545576
GCFC2,0.914919109,8.62E-05
WDR54,1.939156813,2.87E-08
KMT2E,-0.874899018,2.42E-51
RHBDD2,-0.919124349,8.39E-22
IBTK,0.448506049,1.14E-10
MYCBP2,0.507068794,2.19E-14
FBXL3,0.261056447,0.009073826
ITGAL,-0.414523265,0.000185289
LAMP2,-0.684739508,2.93E-56
NA,0.259040016,0.010221992
GDE1,0.501160895,5.97E-07
MAP3K14,0.445706389,0.022327318
NA,-1.22489226,0.012490817
NA,-0.679583116,1.97E-10
AP2B1,1.366809268,2.26E-64
ZNF263,0.277213267,0.032210174
SPATA20,0.223148581,0.049006673
CACNA1G,1.491580745,1.44E-05
RALA,-0.166937711,0.018240714
KDM7A,0.571845786,8.81E-12
ETV1,3.567393068,6.93E-25
PHTF2,0.74496863,1.30E-13
FARP2,0.582604743,5.61E-08
GGCT,0.866786169,1.65E-08
DBF4,-0.412836756,0.004036243
TBXA2R,-0.863697639,0.000204628
IFRD1,-0.714072467,4.95E-16
COX10,0.484048517,0.000732739
GTF2IRD1,-0.765333971,9.17E-05
PAF1,-0.249101793,0.045940023
ELAC2,0.518908666,1.11E-07
SCIN,-0.79264911,0.035460264
PNPLA4,1.109292861,0.019397052
MARK4,-0.646837317,5.60E-08
CCDC124,0.389386224,0.02382634
PAFAH1B1,0.373169219,3.07E-09
NOS2,2.81728242,0.005019446
BLTP2,1.091004628,3.67E-63
GAS7,-0.664287659,1.85E-18
MATK,-1.192176458,3.07E-15
RHBDF1,-1.216726705,3.49E-32
LUC7L,0.284968821,0.038586488
BAIAP3,-2.390470488,2.46E-08
PIGQ,-0.294378723,0.049213565
TEAD3,-1.47478082,1.48E-06
DNAJC11,0.802337944,1.55E-10
MYLIP,-1.357448085,1.88E-13
E2F2,5.866375595,1.62E-07
JARID2,0.163337186,0.013553984
NADK,-1.538696914,1.60E-95
CYTH3,-0.370488949,0.019551056
ADAM22,1.493778976,7.88E-07
SYPL1,0.430879713,3.42E-06
SPAG9,-0.258769754,7.10E-08
MGST1,0.433984383,0.003561931
CRY1,-0.81711278,0.000335656
ST3GAL1,-0.674163152,2.25E-23
MMP25,-1.126129756,0.014652846
IL32,-0.971295169,0.00012013
PKD1,-0.201903635,0.009540218
MAPK8IP2,-2.129076652,0.039968765
RHOBTB2,-0.835864982,4.43E-14
SEC62,0.263350648,0.000100914
RPS20,-0.105388417,0.041197134
CSDE1,0.599408187,2.31E-71
UBE3C,0.762841927,8.19E-29
REV3L,-0.677770308,8.48E-12
TRAF3IP3,-1.153937859,7.06E-10
POMT2,0.559975488,0.001960564
MLXIPL,-1.074758116,2.70E-09
BAZ1B,-0.113548156,0.042481149
ETV7,-3.922539624,6.48E-49
SPRTN,0.418882268,0.005066722
UQCRC1,0.289110895,3.20E-07
NCAPD2,1.127448199,5.00E-13
IFFO1,-0.372443121,0.011126701
GIPR,-2.000164288,3.13E-27
IDS,0.957863435,6.92E-61
ZNF200,-0.506426442,1.58E-05
BTK,-0.800329927,2.24E-33
HFE,-0.665185228,0.026675566
SCMH1,-0.252013372,0.005925632
FYN,0.423251654,0.000214333
HIVEP2,-2.340639747,1.21E-47
ELOA,0.534112015,2.45E-14
LYPLA2,-0.329018784,0.00066066
CLCN6,-0.750369086,2.85E-10
APBA3,-0.811637689,1.39E-06
MKS1,0.666669496,0.023395303
AKAP8L,-0.268340313,0.00676123
MBTD1,0.424551401,0.004261897
UTP18,0.519208769,1.87E-06
RNF216,-0.349628947,0.000711597
TTC19,-0.30235551,0.012622149
PTBP1,0.139720033,0.006844432
PLAUR,-1.121512121,1.35E-158
ANLN,4.126686097,3.41E-61
RABGAP1,0.34597721,0.002889942
PPP5C,0.379359888,0.000386004
TYROBP,-0.745153756,6.23E-45
LDAF1,-1.070619915,2.89E-06
GABRA3,-4.835863018,0.021889857
BRCA1,2.593399478,8.87E-55
ERCC1,0.406730341,0.000527018
CD22,-1.356650325,6.28E-15
MBTPS2,0.839022885,5.06E-11
PRICKLE3,-0.577350617,0.003594894
EXTL3,0.293333149,0.003764995
ELOVL5,0.468035012,2.86E-23
